,SK_ID_BUREAU,MONTHS_BALANCE,STATUS
118,5715453,-20,0
119,5715453,-21,0
120,5715453,-22,X
121,5715453,-23,X
122,5715453,-24,X
123,5715453,-25,0
124,5715453,-26,0
125,5715453,-27,0
126,5715453,-28,0
127,5715453,-29,0
128,5715453,-30,0
129,5715453,-31,X
130,5715453,-32,X
131,5715453,-33,X
132,5715453,-34,X
133,5715453,-35,X
134,5715453,-36,X
135,5715453,-37,X
136,5715454,-15,C
137,5715454,-16,C
138,5715454,-17,C
139,5715454,-18,C
140,5715454,-19,C
141,5715454,-20,C
142,5715454,-21,C
143,5715454,-22,C
144,5715454,-23,C
145,5715454,-24,C
146,5715454,-25,C
147,5715454,-26,C
148,5715454,-27,C
149,5715454,-28,C
150,5715454,-29,C
151,5715454,-30,C
152,5715454,-31,C
153,5715454,-32,C
154,5715454,-33,C
155,5715454,-34,0
156,5715454,-35,0
157,5715454,-36,0
158,5715454,-37,0
159,5715454,-38,0
160,5715454,-39,0
161,5715454,-40,0
162,5715454,-41,0
163,5715454,-42,0
164,5715454,-43,0
165,5715454,-44,0
166,5715454,-45,0
167,5715454,-46,0
168,5715454,-47,0
169,5715454,-48,0
170,5715454,-49,0
171,5715454,-50,0
172,5715454,-51,0
173,5715454,-52,X
174,5715454,-53,0
175,5715455,-49,X
176,5715455,-50,X
177,5715455,-51,X
178,5715455,-52,X
179,5715455,-53,X
180,5715455,-54,X
181,5715455,-55,X
182,5715455,-56,X
183,5715455,-57,X
184,5715455,-58,X
185,5715455,-59,X
186,5715455,-60,X
187,5715455,-61,X
188,5715455,-62,X
189,5715455,-63,X
190,5715455,-64,X
191,5715455,-65,X
192,5715455,-66,X
193,5715455,-67,X
194,5715455,-68,X
195,5715455,-69,X
196,5715455,-70,X
197,5715455,-71,X
198,5715455,-72,X
199,5715455,-73,X
200,5715455,-74,X
201,5715455,-75,X
202,5715455,-76,X
203,5715455,-77,X
204,5715455,-78,X
205,5715455,-79,X
206,5715455,-80,X
207,5715455,-81,X
208,5715455,-82,X
209,5715455,-83,X
210,5715455,-84,X
211,5715455,-85,X
212,5715455,-86,X
213,5715456,-21,X
214,5715456,-22,X
215,5715456,-23,X
216,5715456,-24,X
217,5715456,-25,X
218,5715456,-26,X
219,5715456,-27,X
220,5715456,-28,X
221,5715456,-29,X
222,5715456,-30,X
223,5715456,-31,X
224,5715456,-32,X
225,5715456,-33,X
226,5715456,-34,X
227,5715456,-35,X
228,5715456,-36,X
229,5715456,-37,X
230,5715456,-38,X
231,5715456,-39,X
232,5715456,-40,X
233,5715456,-41,X
234,5715456,-42,X
235,5715456,-43,X
236,5715456,-44,X
237,5715456,-45,X
238,5715456,-46,X
239,5715456,-47,X
240,5715457,0,0
241,5715457,-1,X
242,5715457,-2,X
243,5715457,-3,X
244,5715457,-4,X
245,5715457,-5,X
246,5715457,-6,X
247,5715457,-7,X
248,5715458,0,C
249,5715458,-1,C
250,5715458,-2,C
251,5715458,-3,C
252,5715458,-4,C
253,5715458,-5,C
254,5715458,-6,C
255,5715458,-7,0
256,5715458,-8,0
257,5715458,-9,X
258,5715458,-10,X
259,5715458,-11,X
260,5715458,-12,0
261,5715458,-13,0
262,5715458,-14,0
263,5715458,-15,0
264,5715458,-16,0
265,5715458,-17,0
266,5715458,-18,X
267,5715458,-19,X
268,5715458,-20,X
269,5715458,-21,X
270,5715458,-22,X
271,5715458,-23,X
272,5715458,-24,X
273,5715459,0,C
274,5715459,-1,C
275,5715459,-2,C
276,5715459,-3,C
277,5715459,-4,C
278,5715459,-5,C
279,5715459,-6,C
280,5715459,-7,C
281,5715459,-8,C
282,5715459,-9,C
283,5715459,-10,C
284,5715459,-11,C
285,5715459,-12,C
286,5715459,-13,C
287,5715459,-14,C
288,5715459,-15,C
289,5715459,-16,0
290,5715459,-17,0
291,5715459,-18,0
292,5715459,-19,0
293,5715459,-20,X
294,5715460,0,X
295,5715460,-1,X
296,5715460,-2,X
297,5715460,-3,X
298,5715460,-4,X
299,5715460,-5,X
300,5715460,-6,X
301,5715460,-7,X
302,5715461,0,0
303,5715461,-1,0
304,5715461,-2,0
305,5715461,-3,0
306,5715478,0,C
307,5715478,-1,C
308,5715478,-2,C
309,5715478,-3,C
310,5715478,-4,C
311,5715478,-5,C
312,5715478,-6,C
313,5715478,-7,C
314,5715478,-8,0
315,5715479,0,C
316,5715479,-1,C
317,5715479,-2,C
318,5715479,-3,C
319,5715479,-4,C
320,5715479,-5,C
321,5715479,-6,C
322,5715479,-7,C
323,5715479,-8,C
324,5715479,-9,C
325,5715479,-10,C
326,5715479,-11,C
327,5715479,-12,C
328,5715479,-13,C
329,5715479,-14,C
330,5715479,-15,X
331,5715479,-16,X
332,5715479,-17,X
333,5715479,-18,X
334,5715479,-19,X
335,5715479,-20,X
336,5715480,0,C
337,5715480,-1,C
338,5715480,-2,0
339,5715480,-3,0
340,5715480,-4,0
341,5715480,-5,0
342,5715480,-6,0
343,5715480,-7,0
344,5715480,-8,0
345,5715480,-9,0
346,5715480,-10,0
347,5715480,-11,0
348,5715521,0,C
349,5715521,-1,C
350,5715521,-2,C
351,5715521,-3,C
352,5715521,-4,C
353,5715521,-5,C
354,5715521,-6,0
355,5715521,-7,0
356,5715521,-8,0
357,5715521,-9,0
358,5715521,-10,0
359,5715529,-58,C
360,5715529,-59,C
361,5715529,-60,C
362,5715529,-61,0
363,5715529,-62,X
364,5715530,0,C
365,5715530,-1,C
366,5715530,-2,C
367,5715530,-3,C
368,5715530,-4,C
369,5715530,-5,C
370,5715530,-6,C
371,5715530,-7,C
372,5715530,-8,C
373,5715530,-9,C
374,5715530,-10,C
375,5715530,-11,C
376,5715530,-12,C
377,5715530,-13,C
378,5715530,-14,C
379,5715530,-15,0
380,5715530,-16,0
381,5715530,-17,0
382,5715530,-18,0
383,5715530,-19,0
384,5715530,-20,0
385,5715530,-21,0
386,5715530,-22,0
387,5715531,-8,C
388,5715531,-9,C
389,5715531,-10,C
390,5715531,-11,0
391,5715531,-12,X
392,5715538,0,0
393,5715538,-1,0
394,5715538,-2,0
395,5715538,-3,0
396,5715538,-4,0
397,5715538,-5,0
398,5715538,-6,0
399,5715538,-7,0
400,5715538,-8,0
401,5715539,0,0
402,5715539,-1,0
403,5715539,-2,0
404,5715539,-3,0
405,5715539,-4,0
406,5715539,-5,0
407,5715539,-6,0
408,5715539,-7,0
409,5715540,0,0
410,5715540,-1,0
411,5715540,-2,0
412,5715540,-3,0
413,5715540,-4,0
414,5715565,0,X
415,5715565,-1,0
416,5715565,-2,0
417,5715565,-3,X
418,5715565,-4,0
419,5715565,-5,X
420,5715565,-6,0
421,5715565,-7,X
422,5715565,-8,0
423,5715565,-9,X
424,5715565,-10,0
425,5715565,-11,0
426,5715565,-12,0
427,5715565,-13,X
428,5715565,-14,0
429,5715565,-15,0
430,5715565,-16,0
431,5715565,-17,X
432,5715565,-18,0
433,5715565,-19,X
434,5715565,-20,0
435,5715565,-21,X
436,5715565,-22,X
437,5715565,-23,X
438,5715565,-24,0
439,5715565,-25,0
440,5715565,-26,X
441,5715565,-27,X
442,5715565,-28,0
443,5715565,-29,X
444,5715565,-30,X
445,5715793,-20,X
446,5715793,-21,0
447,5715793,-22,0
448,5715793,-23,0
449,5715793,-24,0
450,5715793,-25,0
451,5715793,-26,0
452,5715793,-27,0
453,5715793,-28,0
454,5715793,-29,0
455,5715793,-30,0
456,5715793,-31,0
457,5715793,-32,0
458,5715793,-33,0
459,5715793,-34,0
460,5715793,-35,0
461,5715793,-36,0
462,5715793,-37,0
463,5715793,-38,0
464,5715793,-39,1
465,5715793,-40,1
466,5715793,-41,0
467,5715793,-42,0
468,5715793,-43,1
469,5715793,-44,0
470,5715793,-45,0
471,5715793,-46,0
472,5715793,-47,0
473,5715794,-43,X
474,5715794,-44,0
475,5715794,-45,0
476,5715794,-46,0
477,5715794,-47,0
478,5715794,-48,0
479,5715794,-49,0
480,5715795,-11,X
481,5715795,-12,0
482,5715795,-13,0
483,5715795,-14,0
484,5715795,-15,0
485,5715795,-16,0
486,5715795,-17,0
487,5715795,-18,0
488,5715795,-19,0
489,5715795,-20,0
490,5715795,-21,0
491,5715795,-22,0
492,5715795,-23,0
493,5715795,-24,0
494,5715795,-25,0
495,5715795,-26,0
496,5715795,-27,0
497,5715795,-28,0
498,5715795,-29,0
499,5715795,-30,1
500,5715795,-31,1
501,5715795,-32,0
502,5715795,-33,0
503,5715795,-34,1
504,5715795,-35,0
505,5715795,-36,0
506,5715795,-37,0
507,5715795,-38,0
508,5715796,-10,X
509,5715796,-11,0
510,5715796,-12,0
511,5715796,-13,0
512,5715796,-14,0
513,5715796,-15,0
514,5715796,-16,0
515,5715796,-17,0
516,5715796,-18,0
517,5715796,-19,0
518,5715796,-20,0
519,5715796,-21,0
520,5715796,-22,0
521,5715796,-23,0
522,5715796,-24,0
523,5715796,-25,0
524,5715796,-26,0
525,5715796,-27,0
526,5715796,-28,0
527,5715796,-29,1
528,5715796,-30,1
529,5715796,-31,0
530,5715796,-32,0
531,5715796,-33,1
532,5715796,-34,0
533,5715796,-35,0
534,5715796,-36,0
535,5715796,-37,0
536,5715797,0,0
537,5715797,-1,1
538,5715797,-2,1
539,5715797,-3,0
540,5715797,-4,0
541,5715797,-5,0
542,5715797,-6,0
543,5715797,-7,2
544,5715797,-8,1
545,5715797,-9,0
546,5715797,-10,0
547,5715797,-11,1
548,5715797,-12,0
549,5715797,-13,1
550,5715797,-14,2
551,5715797,-15,1
552,5715797,-16,1
553,5715797,-17,0
554,5715797,-18,0
555,5715797,-19,1
556,5715797,-20,0
557,5715797,-21,1
558,5715797,-22,0
559,5715797,-23,1
560,5715797,-24,0
561,5715797,-25,0
562,5715797,-26,0
563,5717347,-18,0
564,5717347,-19,0
565,5717347,-20,0
566,5717347,-21,0
567,5717347,-22,0
568,5717347,-23,0
569,5717347,-24,0
570,5717347,-25,0
571,5717347,-26,0
572,5717348,0,1
573,5717348,-1,0
574,5717348,-2,0
575,5717348,-3,0
576,5717348,-4,0
577,5717348,-5,0
578,5717348,-6,0
579,5717348,-7,0
580,5717348,-8,0
581,5717356,-35,C
582,5717356,-36,C
583,5717356,-37,C
584,5717356,-38,C
585,5717356,-39,C
586,5717356,-40,C
587,5717356,-41,C
588,5717356,-42,C
589,5717356,-43,C
590,5717356,-44,C
591,5717356,-45,C
592,5717356,-46,C
593,5717356,-47,C
594,5717356,-48,C
595,5717356,-49,C
596,5717356,-50,C
597,5717356,-51,C
598,5717356,-52,C
599,5717356,-53,C
600,5717356,-54,C
601,5717356,-55,C
602,5717356,-56,C
603,5717356,-57,C
604,5717356,-58,C
605,5717356,-59,0
606,5717356,-60,0
607,5717356,-61,0
608,5717356,-62,0
609,5717356,-63,0
610,5717356,-64,0
611,5717358,0,C
612,5717358,-1,C
613,5717358,-2,C
614,5717358,-3,C
615,5717358,-4,C
616,5717358,-5,C
617,5717358,-6,C
618,5717358,-7,C
619,5717358,-8,C
620,5717358,-9,C
621,5717358,-10,C
622,5717358,-11,C
623,5717358,-12,C
624,5717358,-13,C
625,5717358,-14,C
626,5717358,-15,C
627,5717358,-16,C
628,5717358,-17,C
629,5717358,-18,C
630,5717358,-19,C
631,5717358,-20,C
632,5717358,-21,C
633,5717358,-22,C
634,5717358,-23,C
635,5717358,-24,0
636,5717358,-25,0
637,5717358,-26,0
638,5717358,-27,0
639,5717360,0,X
640,5717360,-1,X
641,5717360,-2,X
642,5717360,-3,X
643,5717360,-4,0
644,5717360,-5,X
645,5717360,-6,X
646,5717360,-7,X
647,5717360,-8,0
648,5717360,-9,X
649,5717360,-10,0
650,5717360,-11,X
651,5717360,-12,X
652,5717360,-13,X
653,5717360,-14,0
654,5717360,-15,0
655,5717363,-42,C
656,5717363,-43,C
657,5717363,-44,C
658,5717363,-45,C
659,5717363,-46,C
660,5717363,-47,C
661,5717363,-48,C
662,5717363,-49,C
663,5717363,-50,C
664,5717363,-51,C
665,5717363,-52,C
666,5717363,-53,C
667,5717363,-54,C
668,5717363,-55,C
669,5717363,-56,C
670,5717363,-57,C
671,5717363,-58,C
672,5717363,-59,C
673,5717363,-60,C
674,5717363,-61,C
675,5717363,-62,C
676,5717363,-63,C
677,5717363,-64,C
678,5717363,-65,C
679,5717363,-66,C
680,5717363,-67,C
681,5717363,-68,C
682,5717363,-69,C
683,5717363,-70,C
684,5717363,-71,C
685,5717363,-72,C
686,5717363,-73,C
687,5717363,-74,C
688,5717363,-75,C
689,5717363,-76,C
690,5717363,-77,C
691,5717363,-78,C
692,5717363,-79,C
693,5717363,-80,C
694,5717363,-81,C
695,5717363,-82,C
696,5717363,-83,0
697,5717363,-84,0
698,5717363,-85,0
699,5717363,-86,0
700,5717363,-87,0
701,5717363,-88,0
702,5717363,-89,0
703,5717363,-90,0
704,5717363,-91,X
705,5717364,-29,C
706,5717364,-30,C
707,5717364,-31,C
708,5717364,-32,C
709,5717364,-33,C
710,5717364,-34,C
711,5717364,-35,C
712,5717364,-36,C
713,5717364,-37,C
714,5717364,-38,C
715,5717364,-39,C
716,5717364,-40,C
717,5717364,-41,C
718,5717364,-42,C
719,5717364,-43,C
720,5717364,-44,C
721,5717364,-45,C
722,5717364,-46,C
723,5717364,-47,C
724,5717364,-48,C
725,5717364,-49,C
726,5717364,-50,C
727,5717364,-51,C
728,5717364,-52,C
729,5717364,-53,C
730,5717364,-54,C
731,5717364,-55,C
732,5717364,-56,C
733,5717364,-57,C
734,5717364,-58,C
735,5717364,-59,C
736,5717364,-60,C
737,5717364,-61,C
738,5717364,-62,C
739,5717364,-63,C
740,5717364,-64,C
741,5717364,-65,C
742,5717364,-66,C
743,5717364,-67,C
744,5717364,-68,C
745,5717364,-69,C
746,5717364,-70,0
747,5717364,-71,0
748,5717364,-72,0
749,5717364,-73,0
750,5717364,-74,0
751,5717364,-75,0
752,5717364,-76,0
753,5717364,-77,0
754,5717364,-78,X
755,5717365,0,C
756,5717365,-1,C
757,5717365,-2,C
758,5717365,-3,C
759,5717365,-4,C
760,5717365,-5,C
761,5717365,-6,C
762,5717365,-7,C
763,5717365,-8,C
764,5717365,-9,C
765,5717365,-10,C
766,5717365,-11,C
767,5717365,-12,C
768,5717365,-13,C
769,5717365,-14,C
770,5717365,-15,C
771,5717365,-16,C
772,5717365,-17,C
773,5717365,-18,C
774,5717365,-19,C
775,5717365,-20,C
776,5717365,-21,C
777,5717365,-22,C
778,5717365,-23,C
779,5717365,-24,C
780,5717365,-25,C
781,5717365,-26,C
782,5717365,-27,C
783,5717365,-28,C
784,5717365,-29,C
785,5717365,-30,C
786,5717365,-31,C
787,5717365,-32,C
788,5717365,-33,C
789,5717365,-34,C
790,5717365,-35,0
791,5717365,-36,0
792,5717365,-37,0
793,5717365,-38,0
794,5717365,-39,0
795,5717365,-40,0
796,5717365,-41,0
797,5717365,-42,0
798,5717365,-43,X
799,5717366,-2,C
800,5717366,-3,C
801,5717366,-4,C
802,5717366,-5,C
803,5717366,-6,C
804,5717366,-7,C
805,5717366,-8,C
806,5717366,-9,C
807,5717366,-10,C
808,5717366,-11,C
809,5717366,-12,C
810,5717366,-13,C
811,5717366,-14,C
812,5717366,-15,C
813,5717366,-16,C
814,5717366,-17,C
815,5717366,-18,C
816,5717366,-19,C
817,5717366,-20,C
818,5717366,-21,C
819,5717366,-22,C
820,5717366,-23,C
821,5717366,-24,C
822,5717366,-25,C
823,5717366,-26,C
824,5717366,-27,C
825,5717366,-28,C
826,5717366,-29,C
827,5717366,-30,C
828,5717366,-31,C
829,5717366,-32,C
830,5717366,-33,C
831,5717366,-34,C
832,5717366,-35,C
833,5717366,-36,C
834,5717366,-37,C
835,5717366,-38,C
836,5717366,-39,C
837,5717366,-40,C
838,5717366,-41,C
839,5717366,-42,C
840,5717366,-43,0
841,5717366,-44,0
842,5717366,-45,0
843,5717366,-46,0
844,5717366,-47,0
845,5717366,-48,0
846,5717366,-49,0
847,5717366,-50,0
848,5717366,-51,X
849,5717367,0,C
850,5717367,-1,C
851,5717367,-2,C
852,5717367,-3,C
853,5717367,-4,C
854,5717367,-5,C
855,5717367,-6,C
856,5717367,-7,C
857,5717367,-8,C
858,5717367,-9,C
859,5717367,-10,C
860,5717367,-11,C
861,5717367,-12,C
862,5717367,-13,C
863,5717367,-14,C
864,5717367,-15,C
865,5717367,-16,C
866,5717367,-17,C
867,5717367,-18,C
868,5717367,-19,C
869,5717367,-20,C
870,5717367,-21,C
871,5717367,-22,C
872,5717367,-23,C
873,5717367,-24,C
874,5717367,-25,C
875,5717367,-26,0
876,5717367,-27,0
877,5717367,-28,0
878,5717367,-29,0
879,5717367,-30,0
880,5717367,-31,0
881,5717367,-32,0
882,5717367,-33,0
883,5717367,-34,X
884,5717368,0,C
885,5717368,-1,C
886,5717368,-2,C
887,5717368,-3,C
888,5717368,-4,C
889,5717368,-5,C
890,5717368,-6,C
891,5717368,-7,C
892,5717368,-8,C
893,5717368,-9,C
894,5717368,-10,C
895,5717368,-11,C
896,5717368,-12,C
897,5717368,-13,C
898,5717368,-14,C
899,5717368,-15,C
900,5717368,-16,C
901,5717368,-17,C
902,5717368,-18,0
903,5717368,-19,0
904,5717368,-20,0
905,5717368,-21,0
906,5717368,-22,0
907,5717368,-23,0
908,5717368,-24,0
909,5717368,-25,0
910,5717368,-26,X
911,5717369,0,0
912,5717369,-1,0
913,5717369,-2,0
914,5717369,-3,0
915,5717369,-4,0
916,5717369,-5,0
917,5717369,-6,0
918,5717369,-7,X
919,5717370,-46,C
920,5717370,-47,C
921,5717370,-48,C
922,5717370,-49,C
923,5717370,-50,C
924,5717370,-51,C
925,5717370,-52,C
926,5717370,-53,C
927,5717370,-54,C
928,5717370,-55,C
929,5717370,-56,C
930,5717370,-57,C
931,5717370,-58,X
932,5717370,-59,0
933,5717370,-60,0
934,5717370,-61,0
935,5717370,-62,0
936,5717370,-63,X
937,5717370,-64,0
938,5717370,-65,0
939,5717370,-66,0
940,5717370,-67,0
941,5717370,-68,0
942,5717370,-69,0
943,5717370,-70,0
944,5717370,-71,0
945,5717370,-72,X
946,5717370,-73,X
947,5717371,0,C
948,5717371,-1,C
949,5717371,-2,C
950,5717371,-3,C
951,5717371,-4,C
952,5717371,-5,C
953,5717371,-6,C
954,5717371,-7,C
955,5717371,-8,C
956,5717371,-9,C
957,5717371,-10,C
958,5717371,-11,C
959,5717371,-12,C
960,5717371,-13,C
961,5717371,-14,C
962,5717371,-15,C
963,5717371,-16,C
964,5717371,-17,C
965,5717371,-18,C
966,5717371,-19,C
967,5717371,-20,C
968,5717371,-21,C
969,5717371,-22,C
970,5717371,-23,0
971,5717371,-24,0
972,5717371,-25,0
973,5717371,-26,0
974,5717371,-27,0
975,5717371,-28,0
976,5717371,-29,0
977,5717371,-30,0
978,5717371,-31,0
979,5717371,-32,0
980,5717371,-33,0
981,5717371,-34,0
982,5717371,-35,0
983,5717371,-36,0
984,5717371,-37,0
985,5717371,-38,0
986,5717371,-39,0
987,5717371,-40,0
988,5717371,-41,0
989,5717371,-42,0
990,5717371,-43,0
991,5717371,-44,0
992,5717371,-45,0
993,5717371,-46,0
994,5717371,-47,0
995,5717371,-48,0
996,5717371,-49,0
997,5717371,-50,0
998,5717371,-51,0
999,5717371,-52,0
1000,5717371,-53,0
1001,5717371,-54,0
1002,5717371,-55,0
1003,5717371,-56,0
1004,5717371,-57,0
1005,5717371,-58,0
1006,5717371,-59,0
1007,5717371,-60,X
1008,5717372,0,C
1009,5717372,-1,C
1010,5717372,-2,C
1011,5717372,-3,C
1012,5717372,-4,C
1013,5717372,-5,C
1014,5717372,-6,C
1015,5717372,-7,C
1016,5717372,-8,C
1017,5717372,-9,C
1018,5717372,-10,C
1019,5717372,-11,0
1020,5717372,-12,0
1021,5717372,-13,0
1022,5717372,-14,0
1023,5717372,-15,0
1024,5717372,-16,0
1025,5717372,-17,0
1026,5717372,-18,0
1027,5717372,-19,0
1028,5717372,-20,0
1029,5717372,-21,0
1030,5717372,-22,0
1031,5717372,-23,0
1032,5717372,-24,0
1033,5717372,-25,0
1034,5717372,-26,0
1035,5717401,-83,C
1036,5717401,-84,C
1037,5717401,-85,C
1038,5717401,-86,C
1039,5717401,-87,C
1040,5717401,-88,C
1041,5717401,-89,C
1042,5717401,-90,0
1043,5717401,-91,0
1044,5717401,-92,0
1045,5717401,-93,0
1046,5717401,-94,0
1047,5717401,-95,0
1048,5717402,-77,X
1049,5717402,-78,0
1050,5717402,-79,X
1051,5717402,-80,0
1052,5717402,-81,0
1053,5717402,-82,X
1054,5717402,-83,0
1055,5717402,-84,X
1056,5717403,0,C
1057,5717403,-1,C
1058,5717403,-2,C
1059,5717403,-3,C
1060,5717403,-4,C
1061,5717403,-5,C
1062,5717403,-6,C
1063,5717403,-7,C
1064,5717403,-8,C
1065,5717403,-9,C
1066,5717403,-10,C
1067,5717403,-11,C
1068,5717403,-12,C
1069,5717403,-13,0
1070,5717403,-14,0
1071,5717403,-15,0
1072,5717403,-16,0
1073,5717403,-17,0
1074,5717403,-18,0
1075,5717405,0,C
1076,5717405,-1,C
1077,5717405,-2,C
1078,5717405,-3,C
1079,5717405,-4,C
1080,5717405,-5,C
1081,5717405,-6,C
1082,5717405,-7,C
1083,5717405,-8,C
1084,5717405,-9,C
1085,5717405,-10,C
1086,5717405,-11,C
1087,5717405,-12,C
1088,5717405,-13,C
1089,5717405,-14,C
1090,5717405,-15,C
1091,5717405,-16,C
1092,5717405,-17,C
1093,5717405,-18,C
1094,5717405,-19,C
1095,5717405,-20,C
1096,5717405,-21,C
1097,5717405,-22,C
1098,5717405,-23,C
1099,5717405,-24,C
1100,5717405,-25,C
1101,5717405,-26,C
1102,5717405,-27,C
1103,5717405,-28,C
1104,5717405,-29,C
1105,5717405,-30,C
1106,5717405,-31,C
1107,5717405,-32,C
1108,5717405,-33,C
1109,5717405,-34,C
1110,5717405,-35,C
1111,5717405,-36,C
1112,5717405,-37,0
1113,5717405,-38,0
1114,5717405,-39,0
1115,5717405,-40,0
1116,5717405,-41,0
1117,5717405,-42,0
1118,5717405,-43,0
1119,5717405,-44,X
1120,5717405,-45,X
1121,5717406,0,0
1122,5717406,-1,0
1123,5717406,-2,0
1124,5717406,-3,0
1125,5717406,-4,0
1126,5717406,-5,0
1127,5717406,-6,X
1128,5717407,0,X
1129,5717407,-1,X
1130,5717407,-2,X
1131,5717407,-3,X
1132,5717407,-4,X
1133,5717407,-5,X
1134,5717407,-6,X
1135,5717408,0,C
1136,5717408,-1,C
1137,5717408,-2,C
1138,5717408,-3,C
1139,5717408,-4,C
1140,5717408,-5,C
1141,5717408,-6,C
1142,5717408,-7,C
1143,5717408,-8,C
1144,5717408,-9,C
1145,5717408,-10,C
1146,5717408,-11,C
1147,5717408,-12,C
1148,5717408,-13,C
1149,5717408,-14,C
1150,5717408,-15,C
1151,5717408,-16,C
1152,5717408,-17,C
1153,5717408,-18,C
1154,5717408,-19,C
1155,5717408,-20,C
1156,5717408,-21,C
1157,5717408,-22,C
1158,5717408,-23,C
1159,5717408,-24,C
1160,5717408,-25,C
1161,5717408,-26,C
1162,5717408,-27,C
1163,5717408,-28,C
1164,5717408,-29,C
1165,5717408,-30,C
1166,5717408,-31,C
1167,5717408,-32,C
1168,5717408,-33,C
1169,5717408,-34,C
1170,5717408,-35,C
1171,5717408,-36,C
1172,5717408,-37,C
1173,5717408,-38,C
1174,5717408,-39,C
1175,5717408,-40,C
1176,5717408,-41,C
1177,5717408,-42,C
1178,5717408,-43,C
1179,5717408,-44,C
1180,5717408,-45,C
1181,5717408,-46,C
1182,5717408,-47,C
1183,5717408,-48,C
1184,5717408,-49,C
1185,5717408,-50,C
1186,5717408,-51,C
1187,5717408,-52,C
1188,5717408,-53,C
1189,5717408,-54,C
1190,5717408,-55,C
1191,5717408,-56,C
1192,5717408,-57,C
1193,5717408,-58,C
1194,5717408,-59,C
1195,5717408,-60,C
1196,5717408,-61,C
1197,5717408,-62,C
1198,5717408,-63,C
1199,5717408,-64,C
1200,5717408,-65,C
1201,5717408,-66,C
1202,5717408,-67,C
1203,5717408,-68,C
1204,5717408,-69,C
1205,5717408,-70,C
1206,5717408,-71,C
1207,5717408,-72,C
1208,5717408,-73,C
1209,5717408,-74,C
1210,5717408,-75,0
1211,5717408,-76,0
1212,5717408,-77,0
1213,5717408,-78,0
1214,5717408,-79,0
1215,5717408,-80,0
1216,5717408,-81,0
1217,5717408,-82,0
1218,5717408,-83,0
1219,5717408,-84,0
1220,5717409,-90,X
1221,5717409,-91,0
1222,5717409,-92,X
1223,5717409,-93,0
1224,5717409,-94,0
1225,5717409,-95,X
1226,5717409,-96,0
1227,5717410,0,C
1228,5717410,-1,C
1229,5717410,-2,C
1230,5717410,-3,C
1231,5717410,-4,C
1232,5717410,-5,C
1233,5717410,-6,C
1234,5717410,-7,C
1235,5717410,-8,C
1236,5717410,-9,C
1237,5717410,-10,C
1238,5717410,-11,C
1239,5717410,-12,C
1240,5717410,-13,C
1241,5717410,-14,C
1242,5717410,-15,C
1243,5717410,-16,C
1244,5717410,-17,C
1245,5717410,-18,C
1246,5717410,-19,C
